Index,FromX,FromY,Distance,Minimum
27,5,31,8.667593506,8.667593506
131,3,25,9.377109111,8.667593506
33,8,31,9.863563183,8.667593506
133,4,25,9.979345867,8.667593506
75,13,22,10.03713606,8.667593506
64,4,31,10.68861559,8.667593506
104,13,40,11.00364033,8.667593506
110,13,21,11.131646,8.667593506
111,14,22,11.24832316,8.667593506
120,18,37,11.36163234,8.667593506
61,5,32,11.58679796,8.667593506
53,18,23,11.98211407,8.667593506
32,5,5,12.6786586,8.667593506
77,5,32,12.68930656,8.667593506
80,4,31,13.09620105,8.667593506
127,14,40,13.22925717,8.667593506
78,5,30,13.24140791,8.667593506
93,13,23,14.00806932,8.667593506
89,14,25,14.15493121,8.667593506
45,5,32,14.1858675,8.667593506
58,18,21,15.09350583,8.667593506
103,18,40,15.11034825,8.667593506
124,3,23,15.68529258,8.667593506
79,6,31,15.92260389,8.667593506
102,12,24,16.59763437,8.667593506
81,14,22,16.83647173,8.667593506
125,13,41,17.15791521,8.667593506
128,12,40,17.51118597,8.667593506
95,14,22,18.01693326,8.667593506
90,12,25,18.70556726,8.667593506
54,13,23,26.97980371,8.667593506
74,13,21,27.13611421,8.667593506
21,15,49,27.64543058,27.64543058
73,13,25,28.21423589,8.667593506
46,5,30,28.23165582,8.667593506
99,14,26,43.644365,8.667593506
76,13,20,49.74825308,8.667593506
130,13,14,52.95355689,8.667593506
114,18,38,53.21780608,8.667593506
26,15,23,54.07268564,27.64543058
48,4,31,54.26285451,8.667593506
112,12,22,55.61597311,8.667593506
138,3,14,55.85490776,8.667593506
35,8,33,56.7115062,8.667593506
122,17,37,58.65357629,8.667593506
134,2,25,58.82525717,8.667593506
107,13,42,59.22782151,8.667593506
50,13,49,59.3742908,8.667593506
62,5,30,60.03866457,8.667593506
126,13,39,60.34032292,8.667593506
23,5,49,60.55688876,27.64543058
63,6,31,60.89940095,8.667593506
121,19,37,61.39522332,8.667593506
137,8,14,61.62028226,8.667593506
132,3,21,62.63213795,8.667593506
105,8,49,63.0554555,8.667593506
113,18,42,63.62944308,8.667593506
117,14,20,64.06150638,8.667593506
123,8,23,64.27611468,8.667593506
100,14,24,64.39619977,8.667593506
36,8,29,64.7644088,8.667593506
25,15,31,64.93200548,27.64543058
57,18,25,65.27561564,8.667593506
37,8,5,65.81897972,8.667593506
118,12,20,66.31581147,8.667593506
92,13,58,67.52205264,8.667593506
109,13,23,67.61136033,8.667593506
106,3,49,68.77439658,8.667593506
71,18,22,69.51002089,8.667593506
98,3,58,114.8586841,8.667593506
91,18,58,115.2800341,8.667593506
87,8,75,136.9045194,8.667593506
83,18,75,138.9597433,8.667593506
17,15,66,139.5939415,139.5939415
14,15,75,143.4626603,143.4626603
88,3,75,152.4245106,8.667593506
85,8,84,163.5814849,8.667593506
18,15,58,168.1896934,139.5939415
19,5,66,188.2625461,139.5939415
68,3,93,193.7433272,8.667593506
84,13,75,195.1083554,8.667593506
30,15,5,205.7168742,8.667593506
136,13,5,214.4296823,8.667593506
11,5,101,280.0403648,280.0403648
13,15,84,281.7099205,280.0403648
70,13,84,306.4734345,8.667593506
66,13,93,307.1627872,8.667593506
12,5,93,318.301784,280.0403648
135,18,5,320.901531,8.667593506
65,18,93,429.2838853,8.667593506
56,3,119,436.57267,8.667593506
51,18,110,438.9966341,8.667593506
60,3,110,464.2103839,8.667593506
43,18,119,556.172851,8.667593506
40,13,128,562.4739602,8.667593506
1,15,136,586.8622678,586.8622678
42,3,128,589.6115994,8.667593506
5,15,119,591.7195449,586.8622678
2,15,128,619.8137926,586.8622678
39,18,128,619.9792539,8.667593506
3,5,136,623.2357604,586.8622678
